,ID_tab,ID_zam,Zamestnanie,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25
75,76,8,asistent/asistentka učiteľa na základnej škole,0,0,0,0,14,0,7,0,4,0,10,0,1,0,0,0,0,1,0,0,0,1,4,0,0
76,77,960,asistent/asistentka učiteľa v predškolskom zariadení,0,1,0,0,10,0,7,0,3,0,10,0,0,0,0,0,0,1,0,0,0,1,2,0,0
77,78,391,asistent/asistentka učiteľa žiakov so špeciálnymi výchovno-vzelávacími potrebami,0,1,0,0,11,0,7,0,7,1,9,0,1,0,0,0,0,1,0,2,0,0,7,0,0
78,79,576,asistent/asistentka v kúpeľoch a wellness centrách,0,6,0,0,7,0,5,8,0,2,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0
79,80,2627,asistent/asistentka v oblasti ľudských zdrojov,0,3,0,0,12,0,13,0,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,81,1696,asistent/asistentka v oblasti športových a rekreačných činností,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,82,373,asistent/asistentka v oblasti získavania zdrojov,0,5,0,0,6,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,83,1681,asistent/asistentka v ošetrovateľstve,0,3,0,0,12,0,2,0,0,1,18,0,1,0,1,0,0,2,0,0,0,0,20,0,0
83,84,986,asistent/asistentka v podiatrii,0,9,0,0,14,0,3,1,0,2,9,0,0,1,2,0,0,1,0,0,0,0,15,0,0
84,85,1140,asistent/asistentka výskumu na univerzite,2,27,1,0,27,0,3,1,1,1,0,0,4,3,7,0,0,0,0,2,0,2,0,0,0
85,86,2374,asistent/asistentka vysokej školy,1,23,1,0,32,0,8,0,4,1,3,0,4,1,2,0,0,1,0,0,0,3,0,0,0
86,87,1303,asistent/asistentka výživy,0,2,2,0,7,0,0,1,1,1,9,0,1,0,0,0,0,3,0,0,0,0,11,0,0
87,88,1329,astrológ/astrologička,1,2,0,0,8,0,4,0,0,0,1,0,0,0,5,0,0,0,0,1,1,0,0,0,0
88,89,1091,astronóm/astronómka,2,20,2,0,21,0,2,0,1,0,0,0,2,2,12,0,0,0,0,0,0,1,0,0,0
89,90,2874,au pair,0,0,0,0,9,0,1,6,0,0,13,0,0,1,0,0,0,1,0,0,0,0,3,0,0
90,91,181,audio opisovateľ/audio opisovateľka pre nevidiacich,1,1,0,0,13,0,3,1,0,0,1,0,2,4,0,1,0,0,0,0,8,0,0,0,0
91,92,1020,audiologický technik/audiologická technička,0,3,0,0,4,0,0,2,0,0,5,0,1,6,1,0,0,2,0,0,1,0,6,0,0
92,93,1099,audítor/audítorka kvality telefonického centra,3,8,0,0,13,0,3,0,0,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
93,94,2871,aukcionár/aukcionárka,0,2,0,0,13,0,5,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,95,1278,autoelektrikár/autoelektrikárka,0,8,11,0,3,7,1,5,0,0,3,0,0,13,1,0,0,1,0,0,0,0,0,0,0
95,96,1138,autokarosár/autokarosárka,0,3,3,0,5,2,2,7,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0
96,97,926,automechanik/automechanička,0,9,14,0,7,8,2,7,0,0,3,0,2,11,0,0,0,2,0,0,0,1,0,0,0
97,98,2358,automechanik/automechanička havarijnej služby,0,4,5,0,10,2,2,2,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0
98,99,1756,automobilový inžinier/automobilová inžinierka,4,8,17,0,8,2,4,1,0,2,0,0,4,1,1,0,0,2,0,0,1,0,0,0,0
99,100,377,automobilový projektant/ automobilová projektantka,6,11,8,0,7,1,1,1,0,0,0,0,4,0,4,0,0,2,0,0,3,0,0,0,0
100,101,848,automobilový technik/automobilová technička,4,15,14,0,7,5,7,2,0,1,5,0,3,9,3,0,0,3,0,0,1,0,0,0,0
101,102,28,autor lekárskej literatúry/autorka lekárskej literatúry,0,4,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0
102,103,422,autosklár/autosklárka,0,2,0,0,3,1,1,10,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
103,104,512,bábkar/bábkarka,0,0,0,0,28,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,105,2408,babysitter/babysitterka,0,0,0,0,4,0,1,5,1,0,13,0,0,0,0,0,0,1,0,0,0,0,4,0,0
105,106,687,back office administrátor/back office administrátorka v oblasti finančných trhov,1,2,1,0,5,0,5,0,0,12,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
106,107,2182,back office špecialista/back office špecialistka,1,6,0,0,6,0,10,0,0,8,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
107,108,2660,balzamovač/balzamovačka,0,1,0,0,7,0,5,7,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0
108,109,828,baník strojník/baníčka strojníčka,0,0,3,0,6,1,1,2,0,0,1,0,0,14,0,0,0,1,0,0,0,0,0,0,0
109,110,956,baník/baníčka hlbinnej ťažby,0,0,3,0,3,0,0,2,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0
110,111,916,baník/baníčka povrchovej ťažby,0,0,4,0,3,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
111,112,1451,bankový manažér/banková manažérka,0,9,0,0,12,0,13,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,113,608,bankový pracovník/banková pracovníčka pri peňažnej priehradke,1,11,1,0,6,1,7,0,0,8,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0
113,114,2941,banský bezpečnostný technik/banská bezpečnostná technička,0,5,4,0,6,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
114,115,1545,banský dispečer/banská dispečerka,0,2,4,0,7,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115,116,2360,banský elektrikár/banská elektrikárka,0,3,5,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
116,117,2763,banský elektroinžinier/banská elektroinžinierka,0,4,7,0,8,0,2,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0
117,118,1934,banský geodet/banská geodetka,0,5,1,0,1,1,0,0,0,0,1,0,1,2,2,0,0,1,0,0,0,0,0,0,0
118,119,295,banský geológ/banská geologička,0,4,1,0,12,0,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
119,120,15,banský geometer/banská geometrička,0,7,3,0,4,0,2,0,0,1,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0
120,121,1535,banský špecialista plánovač/banská špecialistka plánovačka,0,6,3,0,4,0,3,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
121,122,1194,banský špecialista projektant/banská špecialistka projektantka,1,3,6,0,9,0,7,1,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0
122,123,2998,banský strojný inžinier/banská strojná inžinierka,0,5,7,0,6,0,2,0,0,0,1,0,1,2,2,0,0,1,0,0,0,0,0,0,0
123,124,2586,banský záchranár/banská záchranárka,0,4,2,0,6,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
124,125,2342,barista/baristka,0,0,0,0,13,1,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,126,601,barman/barmanka,0,1,1,0,13,0,2,7,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126,127,2065,betonár/betonárka,0,12,2,0,3,12,1,9,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0
127,128,1781,betonár/betonárka elektrolyzérov,0,1,2,0,0,7,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,129,2427,bezpečnostný konzultant/bezpečnostná konzultantka,2,5,2,0,12,0,0,0,0,5,8,0,0,0,0,0,0,4,0,1,0,0,0,0,0
129,130,4,bezpečnostný letecký technik/bezpečnostná letecká technička,0,4,9,0,4,3,2,0,0,3,13,0,3,9,1,0,0,4,0,0,0,0,0,0,0
130,131,855,bezpečnostný manažér/bezpečnostná manažérka letovej časti letiska,0,6,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,132,1448,bezpečnostný poradca/bezpečnostná poradkyňa pre prepravu nebezpečného tovaru,0,5,1,0,8,0,1,1,0,4,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0
132,133,2009,bezpečnostný technik IT/bezpečnostná technička IT,55,7,1,0,5,0,1,0,0,3,1,0,18,2,0,0,0,2,0,0,0,0,0,0,0
133,134,2891,biochemik špecialista/biochemička špecialistka,0,22,12,0,22,0,4,1,0,0,2,0,4,2,15,0,0,0,0,0,0,1,3,0,0
134,135,1358,biochemik/biochemička,0,24,5,0,23,0,5,1,1,0,2,2,2,4,18,0,0,0,0,0,0,2,4,0,0
135,136,291,biofyzik/biofyzička,1,22,1,0,17,0,2,1,1,0,0,0,2,6,17,0,0,0,0,1,1,2,1,0,0
136,137,1304,bioinformatik/bioinformatička,8,26,1,0,21,0,2,0,1,1,0,0,5,2,15,0,0,0,0,0,0,2,0,0,0
137,138,2961,bioinžinier/bioinžinierka,1,17,12,0,13,0,3,1,1,1,3,0,2,4,20,0,0,0,0,0,2,1,7,0,0
138,139,2845,biológ/biologička,1,45,1,0,38,0,10,15,1,4,3,3,3,2,32,0,0,0,0,1,1,1,4,0,0
139,140,30,biomedicínsky inžinier/biomedicínska inžinierka,0,19,3,0,23,0,4,0,1,1,0,0,2,1,7,0,0,0,0,0,2,0,4,0,0
140,141,2159,biometrik/biometrička,4,22,0,0,26,0,3,0,1,0,1,0,4,0,11,0,0,0,0,0,0,1,0,0,0
141,142,179,biotechnik/biotechnička,0,11,5,0,3,0,0,2,0,0,1,3,0,4,8,0,0,0,0,0,0,1,5,0,0
142,143,1199,biznis analytik/analytička,1,12,1,0,12,0,5,0,1,17,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0
143,144,2240,biznis developer/biznis developer,0,5,0,0,8,0,6,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,145,1050,biznis manažér/manažérka,0,11,0,0,19,0,23,0,0,24,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0
145,146,459,blockchainový vývojár/ blockchainová vývojárka,38,3,0,0,9,0,1,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
146,147,2111,bloger/blogerka,3,8,0,0,11,0,2,0,0,4,1,0,9,0,0,0,0,0,0,1,4,0,0,0,0
